date,eq_count,max_magnitude,mean_depth_km,energy_log10,dispersion_km
2016-02-17,1,4.6,458.45,11.7,0.0
2016-02-18,0,,,,
2016-02-19,1,4.6,413.4,11.7,0.0
2016-02-20,6,5.8,546.8666666666667,13.596775058596108,341.3059564747013
2016-02-21,0,,,,
2016-02-22,2,4.6,515.74,11.932474080687586,0.0
2016-02-23,1,4.6,560.15,11.7,0.0
2016-02-24,0,,,,
2016-02-25,1,4.5,538.68,11.55,0.0
2016-02-26,1,4.5,637.9,11.55,0.0
2016-02-27,2,5.1,435.655,12.521081852649532,0.0
2016-02-28,2,4.5,373.8,11.851029995663982,0.0
2016-02-29,2,4.5,352.08,11.851029995663982,0.0
2016-03-01,0,,,,
2016-03-02,1,4.5,535.69,11.55,0.0
2016-03-03,3,4.8,586.8033333333334,12.268578117629064,99.56031977382726
2016-03-04,1,5.3,608.42,12.75,0.0
2016-03-05,0,,,,
2016-03-06,0,,,,
2016-03-07,0,,,,
2016-03-08,2,4.6,614.685,11.932474080687586,0.0
2016-03-09,1,4.7,367.55,11.85,0.0
2016-03-10,0,,,,
2016-03-11,1,4.9,545.89,12.15,0.0
2016-03-12,0,,,,
2016-03-13,1,4.7,511.31,11.85,0.0
2016-03-14,0,,,,
2016-03-15,0,,,,
2016-03-16,1,4.7,505.45,11.85,0.0
2016-03-17,0,,,,
2016-03-18,0,,,,
2016-03-19,2,4.6,487.395,11.932474080687586,0.0
2016-03-20,1,4.6,517.12,11.7,0.0
2016-03-21,0,,,,
2016-03-22,1,4.5,661.28,11.55,0.0
2016-03-23,0,,,,
2016-03-24,0,,,,
2016-03-25,0,,,,
2016-03-26,0,,,,
2016-03-27,0,,,,
2016-03-28,0,,,,
2016-03-29,2,4.7,519.5450000000001,12.026434862436489,0.0
2016-03-30,0,,,,
2016-03-31,1,4.6,438.39,11.7,0.0
2016-04-01,0,,,,
2016-04-02,0,,,,
2016-04-03,1,4.5,458.66,11.55,0.0
2016-04-04,1,4.9,509.72,12.15,0.0
2016-04-05,2,4.7,529.87,12.026434862436489,0.0
2016-04-06,0,,,,
2016-04-07,1,4.9,636.07,12.15,0.0
2016-04-08,0,,,,
2016-04-09,0,,,,
2016-04-10,1,4.5,547.94,11.55,0.0
2016-04-11,1,4.7,594.1,11.85,0.0
2016-04-12,0,,,,
2016-04-13,1,4.6,343.82,11.7,0.0
2016-04-14,0,,,,
2016-04-15,1,4.7,519.39,11.85,0.0
2016-04-16,0,,,,
2016-04-17,1,4.9,539.2,12.15,0.0
2016-04-18,0,,,,
2016-04-19,1,4.5,375.43,11.55,0.0
2016-04-20,3,5.4,530.3100000000001,12.94444728410305,73.66278623008664
2016-04-21,0,,,,
2016-04-22,0,,,,
2016-04-23,1,4.5,568.06,11.55,0.0
2016-04-24,1,4.6,516.64,11.7,0.0
2016-04-25,2,5.3,579.49,12.80149694202523,0.0
2016-04-26,4,4.7,515.12,12.314948161375172,3364.389650161484
2016-04-27,1,4.5,541.62,11.55,0.0
2016-04-28,1,4.8,495.86,12.0,0.0
2016-04-29,0,,,,
2016-04-30,0,,,,
2016-05-01,1,4.9,542.5,12.15,0.0
2016-05-02,0,,,,
2016-05-03,0,,,,
2016-05-04,0,,,,
2016-05-05,1,4.6,539.31,11.7,0.0
2016-05-06,0,,,,
2016-05-07,1,5.2,538.75,12.6,0.0
2016-05-08,1,4.9,589.99,12.15,0.0
2016-05-09,1,4.7,600.09,11.85,0.0
2016-05-10,0,,,,
