date,active_count,new_eruptions,dispersion_km
2026-02-14,34,1,9674.0
2026-02-21,34,1,9674.0
2026-02-28,34,1,9674.0
2026-03-07,34,1,9674.0
2026-03-14,34,1,9674.0
2026-03-21,34,1,9674.0
2026-03-28,34,1,9674.0
2026-04-04,31,0,9671.0
2026-04-11,31,0,9671.0
2026-04-18,31,0,9671.0
2026-04-25,31,0,9671.0
2026-05-02,31,0,9671.0
2026-05-09,31,0,9671.0
2026-05-16,31,0,9671.0
2026-05-23,31,0,9671.0
2026-05-30,31,0,9671.0
2026-06-06,31,0,9671.0
2026-06-13,31,0,9671.0
2026-06-20,31,0,9671.0
2026-06-27,31,0,9671.0
2026-07-04,31,0,9671.0
