API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr 10 21:16:47 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 02:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:30:00.0000 TDB
Step-size       : 30 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260410.p260707
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-10. PREDICTS-> 2026-JUL-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461132.583333333, A.D. 2026-Apr-02 02:00:00.0000, -2.460259791031141E+04, -1.466164717271550E+04, -1.313590155061838E+03, -1.807002964285140E+00, -3.851912040453985E+00, -3.344134326180390E-01,
2461132.604166667, A.D. 2026-Apr-02 02:30:00.0000, -2.728204624781138E+04, -2.121840829705977E+04, -1.882219723909653E+03, -1.214704798026546E+00, -3.446632212334617E+00, -2.984604474884138E-01,
2461132.625000000, A.D. 2026-Apr-02 03:00:00.0000, -2.909264592531087E+04, -2.711121720283722E+04, -2.391890991974906E+03, -8.205454612341572E-01, -3.110828589087955E+00, -2.687428398887397E-01,
2461132.645833333, A.D. 2026-Apr-02 03:30:00.0000, -3.029534638065860E+04, -3.244877316342307E+04, -2.854289760016052E+03, -5.184633506685826E-01, -2.826827916193110E+00, -2.446210760279653E-01,
2461132.666666667, A.D. 2026-Apr-02 04:00:00.0000, -3.102403350043977E+04, -3.730924346872615E+04, -3.274577787248290E+03, -3.000574237910761E-01, -2.578978239404011E+00, -2.228382086673769E-01,
2461132.687500000, A.D. 2026-Apr-02 04:30:00.0000, -3.140195740956497E+04, -4.174967705926314E+04, -3.657987704492234E+03, -1.259476909922185E-01, -2.358855925747989E+00, -2.035310093467497E-01,
2461132.708333333, A.D. 2026-Apr-02 05:00:00.0000, -3.149602706890625E+04, -4.581387495561967E+04, -4.008424334033551E+03,  1.703726922400336E-02, -2.160042922976165E+00, -1.861207231595252E-01,
2461132.729166667, A.D. 2026-Apr-02 05:30:00.0000, -3.135427394535822E+04, -4.953583039748310E+04, -4.328910513078728E+03,  1.371815967506993E-01, -1.977933969020562E+00, -1.701943449701615E-01,
2461132.750000000, A.D. 2026-Apr-02 06:00:00.0000, -3.101254919779961E+04, -5.294240416952401E+04, -4.621830701731047E+03,  2.399780462023938E-01, -1.809130114654621E+00, -1.554482671482310E-01,
