API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr 10 21:30:18 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Mar-28 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-15 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260410.p260707
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-10. PREDICTS-> 2026-JUL-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461127.500000000, A.D. 2026-Mar-28 00:00:00.0000, -2.171844228563833E+05,  3.076139559821568E+05,  1.882527491070348E+04, -8.688275137116797E-01, -5.676236052266187E-01, -7.752480662201083E-02,
2461127.541666667, A.D. 2026-Mar-28 01:00:00.0000, -2.203016405774490E+05,  3.055554457142157E+05,  1.854526719106166E+04, -8.629471277890307E-01, -5.759825724461130E-01, -7.803368558102391E-02,
2461127.583333333, A.D. 2026-Mar-28 02:00:00.0000, -2.233975491564511E+05,  3.034669584854510E+05,  1.826344213067705E+04, -8.569892253891082E-01, -5.842773525471319E-01, -7.853443444212371E-02,
2461127.625000000, A.D. 2026-Mar-28 03:00:00.0000, -2.264718708761576E+05,  3.013487266579020E+05,  1.797982906130997E+04, -8.509545531084860E-01, -5.925072312647739E-01, -7.902701814312563E-02,
2461127.666666667, A.D. 2026-Mar-28 04:00:00.0000, -2.295243307177431E+05,  2.992009851485227E+05,  1.769445743916904E+04, -8.448438634466967E-01, -6.006715034732638E-01, -7.951140260824946E-02,
2461127.708333333, A.D. 2026-Mar-28 05:00:00.0000, -2.325546563818388E+05,  2.970239713962127E+05,  1.740735684136102E+04, -8.386579146950218E-01, -6.087694732237198E-01, -7.998755474749203E-02,
2461127.750000000, A.D. 2026-Mar-28 06:00:00.0000, -2.355625783091828E+05,  2.948179253287139E+05,  1.711855696234344E+04, -8.323974708253028E-01, -6.168004537808324E-01, -8.045544245590777E-02,
2461127.791666667, A.D. 2026-Mar-28 07:00:00.0000, -2.385478297008704E+05,  2.925830893293774E+05,  1.682808761037965E+04, -8.260633013787675E-01, -6.247637676584642E-01, -8.091503461279548E-02,
2461127.833333333, A.D. 2026-Mar-28 08:00:00.0000, -2.415101465382032E+05,  2.903197082038040E+05,  1.653597870399727E+04, -8.196561813548696E-01, -6.326587466541741E-01, -8.136630108079321E-02,
